empresa_id,tipo_energia,total_inversion,energia_generada_total,emisiones_evitadas_total,retorno_estimado
EMP000000,Eólica,375.11,1962.66,606.28,0.6187
EMP000000,Hidroeléctrica,301.21,9150.33,224.96,1.3389
EMP000001,Biomasa,4.58,7295.54,1565.71,0.0029
EMP000004,Biomasa,249.27,948.21,3963.83,0.0629
EMP000005,Geotérmica,151.59,3851.69,1551.77,0.0977
EMP000005,Solar,130.73,5587.7,1965.9,0.0665
EMP000007,Biomasa,275.83,3956.89,3201.3,0.0862
EMP000007,Eólica,421.88,9284.1,60.84,6.9343
EMP000008,Solar,247.0,4204.26,3638.72,0.0679
EMP000010,Eólica,16.08,3844.5,3515.75,0.0046
EMP000011,Eólica,821.81,6859.82,904.25,0.9088
EMP000011,Geotérmica,422.01,8215.66,4710.83,0.0896
EMP000013,Biomasa,148.41,9085.89,2513.3,0.059
EMP000014,Eólica,18.07,7271.2,2643.79,0.0068
EMP000014,Hidroeléctrica,166.13,6516.27,3163.86,0.0525
EMP000015,Hidroeléctrica,307.1,2125.72,1148.55,0.2674
EMP000017,Geotérmica,124.93,3515.5,4775.43,0.0262
EMP000018,Geotérmica,30.79,6864.87,4154.26,0.0074
EMP000019,Eólica,129.38,8587.53,4254.72,0.0304
EMP000020,Geotérmica,63.57,3605.15,3235.26,0.0196
EMP000020,Hidroeléctrica,131.86,7774.03,262.14,0.503
EMP000020,Solar,480.13,9806.74,2019.95,0.2377
EMP000021,Geotérmica,269.63,7428.12,2222.13,0.1213
EMP000022,Eólica,318.68,766.01,1810.91,0.176
EMP000022,Hidroeléctrica,614.96,14312.81,4607.77,0.1335
EMP000022,Solar,108.04,8760.31,504.01,0.2144
EMP000023,Eólica,265.19,9921.41,8036.39,0.033
EMP000023,Geotérmica,160.41,198.96,2692.73,0.0596
EMP000023,Solar,339.33,7419.9,1428.16,0.2376
EMP000024,Geotérmica,243.63,640.89,562.13,0.4334
EMP000024,Hidroeléctrica,494.73,5386.26,528.39,0.9363
EMP000025,Biomasa,35.78,9019.95,3223.98,0.0111
EMP000026,Biomasa,166.68,5605.79,1498.68,0.1112
EMP000027,Eólica,146.88,3868.14,1620.4,0.0906
EMP000027,Geotérmica,429.19,6976.7,4148.93,0.1034
EMP000029,Geotérmica,303.35,729.7,599.19,0.5063
EMP000031,Hidroeléctrica,250.23,5782.26,2409.67,0.1038
EMP000032,Hidroeléctrica,695.28,12866.42,3844.44,0.1809
EMP000033,Biomasa,240.35,6772.02,7049.5,0.0341
EMP000033,Hidroeléctrica,454.21,1391.17,101.64,4.4688
EMP000034,Eólica,101.97,9085.15,2904.42,0.0351
EMP000034,Geotérmica,176.21,1405.83,885.8,0.1989
EMP000035,Geotérmica,284.0,723.99,3283.31,0.0865
