empresa_id,nombre,emisiones_netas,regulacion_id,costo_impuesto,cumple_normativa
EMP000000,Empresa_0,2386.06,REG026381,49542.06,0
EMP000001,Empresa_1,14569.99,REG006127,228307.37,0
EMP000002,Empresa_2,2224.93,REG009011,16202.52,0
EMP000003,Empresa_3,3764.32,REG006127,46447.94,0
EMP000004,Empresa_4,7876.34,REG029620,149578.68,0
EMP000005,Empresa_5,2147.87,REG026381,41019.62,0
EMP000006,Empresa_6,3871.34,REG006127,48249.09,0
EMP000007,Empresa_7,6224.86,REG004617,75482.75,0
EMP000008,Empresa_8,10384.66,REG008575,107684.16,0
EMP000009,Empresa_9,13398.5,REG006127,208591.19,0
EMP000010,Empresa_10,15347.22,REG024888,589219.38,0
EMP000011,Empresa_11,8701.37,REG006127,129538.49,0
EMP000012,Empresa_12,1807.39,REG026381,28837.25,0
EMP000013,Empresa_13,8186.49,REG024888,295128.2,0
EMP000014,Empresa_14,-4011.02,REG006127,0.0,1
EMP000015,Empresa_15,162.16,REG007333,0.0,1
EMP000016,Empresa_16,14768.45,REG004617,198937.63,0
EMP000017,Empresa_17,2354.99,REG026381,48430.38,0
EMP000018,Empresa_18,-3123.72,REG007333,0.0,1
EMP000019,Empresa_19,8774.97,REG026381,278137.26,0
EMP000020,Empresa_20,5460.49,REG008575,51056.21,0
EMP000021,Empresa_21,-765.97,REG006127,0.0,1
EMP000022,Empresa_22,1691.22,REG007333,27503.4,0
EMP000023,Empresa_23,1543.69,REG026381,19402.06,0
EMP000024,Empresa_24,1252.71,REG026381,8990.8,0
EMP000025,Empresa_25,8936.06,REG024888,325913.04,0
EMP000026,Empresa_26,7144.45,REG006127,103335.53,0
EMP000027,Empresa_27,6683.37,REG004617,82108.22,0
EMP000028,Empresa_28,17380.81,REG007043,397543.09,0
EMP000029,Empresa_29,7657.13,REG024888,273387.38,0
EMP000030,Empresa_30,17478.59,REG006127,277259.1,0
EMP000031,Empresa_31,8779.28,REG024160,310917.84,0
EMP000032,Empresa_32,4096.93,REG024888,127169.97,0
